Songs,"I-words(I, me, my)",Positive Tone,Negative Tone,Social Words,Cognitive Processes,Allure,Moralization,Analytic,Authentic,,,,,,,,,,,
"SENORITA - SHAWN MENDES, CAMILLA CABELLO",11.48,3.64,0,14.29,13.73,9.8,0,2.2,91.75,,,,,,,,,,,
WE DON'T TALK ANYMORE - CHARLIE PUTH,6.29,2.47,1.35,14.38,13.48,13.71,1.12,1.21,64.88,,,,,,,,,,,
"ONE KISS IS ALL IT TAKES - CALVIN HARRIS, DUA LIPA",10.84,6.99,1.05,8.04,14.69,17.13,0,60.82,92.93,,,,,,,,,,,
LEVITATING - DUA LIPA,15.4,0.74,0.19,13.54,7.98,9.83,0,20.83,99.66,,,,,,,,,,,
"STAY - JUSTIN BIEBER, THE KID LAROI",18.21,1.58,1.32,10.29,20.84,16.36,0,0.08,99.94,,,,,,,,,,,
WAKE ME UP - AVICII,21.46,3.64,3.64,1.21,16.19,10.12,0,0.14,100,,,,,,,,,,,
IT AIN'T ME - KYGO,12.03,7.74,0.29,9.17,8.02,5.44,0,1.74,98.3,,,,,,,,,,,
WINTER WONDERLAND - KASKADE,0,7.69,0,7.69,3.42,5.13,0,93.51,99.71,,,,,,,,,,,
SOUND OF WALKING AWAY - ILLENIUM,9.09,2.53,3.03,4.55,7.58,10.1,0,2.08,100,,,,,,,,,,,
THE SEARCH - NF,10.06,3.27,2.01,5.66,12.7,11.7,0.25,10.69,97.09,,,,,,,,,,,
BLINDING LIGHTS - THE WEEKND,15.63,0.39,2.34,6.25,8.98,14.06,1.17,9.32,97.49,,,,,,,,,,,
GOD'S PLAN - DRAKE,12,2.86,2.86,6.57,7.71,10,0,24.38,85.7,,,,,,,,,,,
RAP SNITCH KNISHES - MF DOOM,3,1.88,2.63,10.13,5.07,9.57,0.56,75.83,51.93,,,,,,,,,,,
WELCOME TO JAPAN - THE STROKES,6.33,2.33,1.67,13.67,17,12.67,0.33,9.73,99.91,,,,,,,,,,,
ULTRALIGHT BEAM - KANYE WEST,7.41,3.99,2.56,10.11,12.11,14.39,0.14,13.13,45.67,,,,,,,,,,,
SACRIFICE - THE WEEKND,0,2.5,2.5,6,3.5,14,0.5,29.94,28.56,,,,,,,,,,,
ELECTRIC FEEL - MGMT,6.67,0.48,2.38,16.19,10.48,17.62,0,58.26,94.92,,,,,,,,,,,
ARE YOU GONNA BE MY GIRL - JET,14.67,3.86,0.77,20.46,11.97,15.83,0,0.95,83.79,,,,,,,,,,,
